Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Banten,2024,2.3,1.3,15,2.8,50,29.9,Low
Jambi,2024,2.6,1.2,43.2,1.9,53.7,29.6,Low
Riau,2024,1.9,0.4,43.4,2.1,62.4,21.9,Low
West Papua,2024,1,1,52.3,1.4,55.7,21,Low
Lampung,2024,1.7,0.5,49.5,3.1,33.9,28.3,Low
East Java,2024,1.9,0.5,37.5,2.9,57.1,21.4,Low
West Sumatra,2024,1.7,1,31.6,2.3,59.7,25.2,Low
North Kalimantan,2024,2.5,0.4,41.9,1.9,63.6,29.5,Low
East Nusa Tenggara,2024,1.4,0.6,56.4,1.6,43.8,29,Low
South Kalimantan,2024,2.3,0.4,17.2,2.4,66.8,24.7,Low
Bangka Belitung Islands,2024,2.5,0.5,24.6,3.1,30.5,26.9,Low
North Maluku,2024,2.6,0.5,24.2,1.3,44.5,29,Low
West Sumatra,2024,2.5,0.6,17.2,2.1,37.6,26,Low
North Sulawesi,2024,1,1.3,46.3,1.5,42.8,22.4,Low
West Java,2024,2.7,1,56.1,3,62.8,21.1,Low
Papua,2024,1.4,0.4,48.8,3.3,50.9,24.2,Low
Bangka Belitung Islands,2024,1.6,1.2,30.1,2.2,40.2,21.4,Low
Riau,2024,2.6,1,48.7,2.4,35.1,25.1,Low
Central Sulawesi,2024,1.5,0.9,43.1,3.4,53.4,25.6,Low
Central Kalimantan,2024,2.3,1.2,20.1,1,37.2,21.6,Low
Jakarta,2024,1.8,0.7,47.9,3.4,51.9,24.3,Low
North Sumatra,2024,1.3,0.7,36,2.2,35.5,21.6,Low
